location,date,new_cases,new_deaths,population_density,aged_65_older,aged_density
Iran,2021-12-26,1857.0,52.0,49.831,5.44,271.08064
Iran,2022-01-03,1677.0,22.0,49.831,5.44,271.08064
Iran,2022-01-09,1480.0,31.0,49.831,5.44,271.08064
Iran,2022-01-13,2394.0,30.0,49.831,5.44,271.08064
Iran,2022-01-14,2539.0,24.0,49.831,5.44,271.08064
Iran,2022-01-15,1421.0,18.0,49.831,5.44,271.08064
Iran,2022-01-16,2292.0,31.0,49.831,5.44,271.08064
Iran,2022-01-17,3163.0,20.0,49.831,5.44,271.08064
Iran,2022-01-18,3653.0,18.0,49.831,5.44,271.08064
Iran,2022-01-19,4060.0,19.0,49.831,5.44,271.08064
Iran,2022-01-20,4658.0,20.0,49.831,5.44,271.08064
Iran,2022-01-22,3503.0,30.0,49.831,5.44,271.08064
Iran,2022-01-23,5144.0,28.0,49.831,5.44,271.08064
Iran,2022-01-24,7691.0,21.0,49.831,5.44,271.08064
Iran,2022-01-26,11851.0,29.0,49.831,5.44,271.08064
Iran,2022-01-28,16757.0,23.0,49.831,5.44,271.08064
Iran,2022-01-29,11731.0,24.0,49.831,5.44,271.08064
Iran,2022-01-30,21996.0,44.0,49.831,5.44,271.08064
Iran,2022-01-31,28995.0,30.0,49.831,5.44,271.08064
Iran,2022-02-01,35070.0,50.0,49.831,5.44,271.08064
Iran,2022-02-02,38160.0,59.0,49.831,5.44,271.08064
Iran,2022-02-03,37395.0,61.0,49.831,5.44,271.08064
Iran,2022-02-04,36908.0,57.0,49.831,5.44,271.08064
Iran,2022-02-05,23130.0,64.0,49.831,5.44,271.08064
Iran,2022-02-06,35429.0,85.0,49.831,5.44,271.08064
Iran,2022-02-07,39819.0,104.0,49.831,5.44,271.08064
Iran,2022-02-08,38757.0,114.0,49.831,5.44,271.08064
Iran,2022-02-09,39085.0,116.0,49.831,5.44,271.08064
Iran,2022-02-10,33681.0,130.0,49.831,5.44,271.08064
Iran,2022-02-11,31247.0,143.0,49.831,5.44,271.08064
Iran,2022-02-12,18598.0,133.0,49.831,5.44,271.08064
Iran,2022-02-13,25812.0,148.0,49.831,5.44,271.08064
Iran,2022-02-14,28956.0,168.0,49.831,5.44,271.08064
Iran,2022-02-15,25034.0,167.0,49.831,5.44,271.08064
Iran,2022-02-16,16310.0,185.0,49.831,5.44,271.08064
Iran,2022-02-18,19317.0,187.0,49.831,5.44,271.08064
Iran,2022-02-19,12058.0,191.0,49.831,5.44,271.08064
Iran,2022-02-20,16967.0,242.0,49.831,5.44,271.08064
Iran,2022-02-21,19110.0,236.0,49.831,5.44,271.08064
Iran,2022-02-22,22073.0,223.0,49.831,5.44,271.08064
Iran,2022-02-23,15340.0,227.0,49.831,5.44,271.08064
Iran,2022-02-25,11972.0,214.0,49.831,5.44,271.08064
Iran,2022-02-26,7039.0,224.0,49.831,5.44,271.08064
Singapore,2021-07-31,120.0,0.0,7915.731,12.922,102287.075982
Singapore,2021-08-01,121.0,0.0,7915.731,12.922,102287.075982
Singapore,2021-08-02,111.0,1.0,7915.731,12.922,102287.075982
Singapore,2021-08-03,102.0,0.0,7915.731,12.922,102287.075982
Singapore,2021-08-04,95.0,1.0,7915.731,12.922,102287.075982
Singapore,2021-08-05,98.0,1.0,7915.731,12.922,102287.075982
Singapore,2021-08-06,97.0,1.0,7915.731,12.922,102287.075982
Singapore,2021-08-07,81.0,1.0,7915.731,12.922,102287.075982
Singapore,2021-08-08,78.0,0.0,7915.731,12.922,102287.075982
Singapore,2021-08-09,72.0,0.0,7915.731,12.922,102287.075982
Singapore,2021-08-10,0.0,0.0,7915.731,12.922,102287.075982
Singapore,2021-08-11,117.0,1.0,7915.731,12.922,102287.075982
Singapore,2021-08-12,59.0,0.0,7915.731,12.922,102287.075982
Singapore,2021-08-13,49.0,1.0,7915.731,12.922,102287.075982
Singapore,2021-08-14,58.0,0.0,7915.731,12.922,102287.075982
Singapore,2021-08-15,53.0,0.0,7915.731,12.922,102287.075982
Singapore,2021-08-16,53.0,0.0,7915.731,12.922,102287.075982
