location,date,total_deaths,total_cases,death_percentage,human_development_index
Yemen,30/4/2020,2,6,33.33333333,0.47
Yemen,1/5/2020,2,7,28.57142857,0.47
Yemen,2/5/2020,2,10,20,0.47
Yemen,3/5/2020,2,10,20,0.47
Yemen,4/5/2020,2,12,16.66666667,0.47
Yemen,5/5/2020,3,21,14.28571429,0.47
Yemen,6/5/2020,5,25,20,0.47
Yemen,7/5/2020,5,25,20,0.47
Yemen,8/5/2020,5,34,14.70588235,0.47
Yemen,9/5/2020,7,34,20.58823529,0.47
Yemen,10/5/2020,8,51,15.68627451,0.47
Yemen,11/5/2020,9,56,16.07142857,0.47
Yemen,12/5/2020,10,65,15.38461538,0.47
Yemen,13/5/2020,12,70,17.14285714,0.47
Yemen,14/5/2020,12,85,14.11764706,0.47
Yemen,15/5/2020,15,106,14.1509434,0.47
Yemen,16/5/2020,18,122,14.75409836,0.47
Yemen,17/5/2020,20,128,15.625,0.47
Yemen,18/5/2020,20,130,15.38461538,0.47
Yemen,19/5/2020,28,167,16.76646707,0.47
Yemen,20/5/2020,29,180,16.11111111,0.47
Yemen,21/5/2020,33,193,17.0984456,0.47
Yemen,22/5/2020,33,205,16.09756098,0.47
Yemen,23/5/2020,39,212,18.39622642,0.47
Yemen,24/5/2020,42,222,18.91891892,0.47
Yemen,25/5/2020,44,233,18.88412017,0.47
Yemen,26/5/2020,49,249,19.67871486,0.47
Yemen,27/5/2020,53,255,20.78431373,0.47
Yemen,28/5/2020,57,278,20.50359712,0.47
Yemen,29/5/2020,65,283,22.96819788,0.47
Yemen,30/5/2020,77,310,24.83870968,0.47
Yemen,31/5/2020,80,323,24.76780186,0.47
Yemen,1/6/2020,84,354,23.72881356,0.47
Yemen,2/6/2020,87,399,21.80451128,0.47
Yemen,3/6/2020,95,419,22.67303103,0.47
Yemen,4/6/2020,103,453,22.73730684,0.47
Yemen,5/6/2020,111,469,23.6673774,0.47
Yemen,6/6/2020,111,482,23.02904564,0.47
Yemen,7/6/2020,112,484,23.14049587,0.47
Yemen,8/6/2020,112,496,22.58064516,0.47
Yemen,9/6/2020,127,524,24.23664122,0.47
Yemen,10/6/2020,129,560,23.03571429,0.47
Yemen,11/6/2020,136,591,23.01184433,0.47
Yemen,12/6/2020,139,632,21.99367089,0.47
Yemen,13/6/2020,160,705,22.69503546,0.47
Yemen,14/6/2020,164,728,22.52747253,0.47
Yemen,15/6/2020,208,844,24.64454976,0.47
Yemen,16/6/2020,214,885,24.18079096,0.47
Yemen,17/6/2020,244,902,27.05099778,0.47
Yemen,18/6/2020,248,909,27.28272827,0.47
Yemen,19/6/2020,251,919,27.31229597,0.47
Yemen,20/6/2020,254,922,27.54880694,0.47
Yemen,21/6/2020,256,941,27.20510096,0.47
Yemen,22/6/2020,257,967,26.5770424,0.47
Yemen,23/6/2020,261,992,26.31048387,0.47
Yemen,24/6/2020,274,1015,26.99507389,0.47
Yemen,25/6/2020,288,1076,26.76579926,0.47
Yemen,26/6/2020,293,1089,26.90541781,0.47
Yemen,27/6/2020,296,1103,26.83590209,0.47
Yemen,28/6/2020,302,1118,27.01252236,0.47
Yemen,29/6/2020,304,1128,26.95035461,0.47
Yemen,30/6/2020,312,1158,26.94300518,0.47
Yemen,1/7/2020,318,1190,26.72268908,0.47
Yemen,2/7/2020,325,1221,26.61752662,0.47
Yemen,3/7/2020,335,1240,27.01612903,0.47
Yemen,4/7/2020,337,1248,27.00320513,0.47
Yemen,5/7/2020,338,1265,26.71936759,0.47
Yemen,6/7/2020,345,1290,26.74418605,0.47
Yemen,7/7/2020,348,1297,26.8311488,0.47
Yemen,8/7/2020,351,1318,26.63125948,0.47
Yemen,9/7/2020,361,1356,26.62241888,0.47
Yemen,10/7/2020,364,1380,26.37681159,0.47
Yemen,11/7/2020,365,1389,26.27789777,0.47
Yemen,12/7/2020,417,1465,28.46416382,0.47
Yemen,13/7/2020,424,1498,28.30440587,0.47
Yemen,14/7/2020,429,1516,28.29815303,0.47
Yemen,15/7/2020,433,1526,28.37483617,0.47
Yemen,16/7/2020,438,1552,28.22164948,0.47
Yemen,17/7/2020,440,1576,27.91878173,0.47
Yemen,18/7/2020,443,1581,28.02024035,0.47
Yemen,19/7/2020,445,1606,27.70859278,0.47
Yemen,20/7/2020,447,1619,27.60963558,0.47
Yemen,21/7/2020,456,1629,27.99263352,0.47
Yemen,22/7/2020,458,1640,27.92682927,0.47
Yemen,23/7/2020,461,1654,27.87182588,0.47
Yemen,24/7/2020,469,1674,28.0167264,0.47
Yemen,25/7/2020,474,1674,28.31541219,0.47
Yemen,26/7/2020,479,1681,28.49494349,0.47
Yemen,27/7/2020,483,1691,28.56298048,0.47
Yemen,28/7/2020,484,1703,28.42043453,0.47
Yemen,29/7/2020,485,1711,28.34599649,0.47
Yemen,30/7/2020,487,1726,28.21552723,0.47
Yemen,31/7/2020,493,1728,28.53009259,0.47
Yemen,1/8/2020,494,1730,28.55491329,0.47
Yemen,2/8/2020,497,1734,28.66205306,0.47
Yemen,3/8/2020,499,1734,28.77739331,0.47
Yemen,4/8/2020,506,1760,28.75,0.47
Yemen,5/8/2020,508,1763,28.8145207,0.47
Yemen,6/8/2020,508,1768,28.73303167,0.47
Yemen,7/8/2020,512,1796,28.5077951,0.47
Yemen,8/8/2020,512,1797,28.491931,0.47
Yemen,9/8/2020,515,1804,28.54767184,0.47
Yemen,10/8/2020,518,1832,28.27510917,0.47
Yemen,11/8/2020,523,1831,28.56362643,0.47
Yemen,12/8/2020,528,1841,28.68006518,0.47
Yemen,13/8/2020,528,1847,28.58689767,0.47
Yemen,14/8/2020,528,1858,28.41765339,0.47
Yemen,15/8/2020,528,1858,28.41765339,0.47
Yemen,16/8/2020,530,1869,28.35741038,0.47
Yemen,17/8/2020,535,1869,28.62493312,0.47
Yemen,18/8/2020,537,1889,28.42773954,0.47
Yemen,19/8/2020,539,1892,28.48837209,0.47
Yemen,20/8/2020,541,1899,28.48867825,0.47
Yemen,21/8/2020,542,1906,28.43651626,0.47
Yemen,22/8/2020,546,1907,28.63135815,0.47
Yemen,23/8/2020,553,1911,28.93772894,0.47
Yemen,24/8/2020,555,1916,28.96659708,0.47
Yemen,25/8/2020,557,1924,28.95010395,0.47
Yemen,26/8/2020,560,1930,29.01554404,0.47
Yemen,27/8/2020,562,1933,29.07397827,0.47
Yemen,28/8/2020,563,1943,28.9758106,0.47
Yemen,29/8/2020,563,1946,28.9311408,0.47
Yemen,30/8/2020,564,1953,28.87864823,0.47
Yemen,31/8/2020,566,1958,28.90704801,0.47
Yemen,1/9/2020,570,1962,29.05198777,0.47
Yemen,2/9/2020,571,1976,28.89676113,0.47
Yemen,3/9/2020,571,1979,28.85295604,0.47
Yemen,4/9/2020,572,1983,28.84518406,0.47
Yemen,5/9/2020,572,1983,28.84518406,0.47
Yemen,6/9/2020,572,1987,28.78711626,0.47
Yemen,7/9/2020,573,1989,28.80844646,0.47
Yemen,8/9/2020,576,1994,28.88665998,0.47
Yemen,9/9/2020,576,1999,28.8144072,0.47
Yemen,10/9/2020,580,2003,28.95656515,0.47
Yemen,11/9/2020,582,2007,28.99850523,0.47
Yemen,12/9/2020,582,2009,28.96963664,0.47
Yemen,13/9/2020,583,2011,28.99055196,0.47
Yemen,14/9/2020,583,2013,28.96174863,0.47
Yemen,15/9/2020,583,2016,28.91865079,0.47
Yemen,16/9/2020,583,2019,28.87568103,0.47
Yemen,17/9/2020,585,2022,28.93175074,0.47
Yemen,18/9/2020,585,2024,28.90316206,0.47
Yemen,19/9/2020,585,2026,28.87462981,0.47
Yemen,20/9/2020,586,2026,28.92398815,0.47
Yemen,21/9/2020,586,2028,28.89546351,0.47
Yemen,22/9/2020,586,2028,28.89546351,0.47
Yemen,23/9/2020,586,2029,28.88122228,0.47
Yemen,24/9/2020,586,2029,28.88122228,0.47
Yemen,25/9/2020,587,2029,28.93050764,0.47
Yemen,26/9/2020,587,2030,28.91625616,0.47
Yemen,27/9/2020,587,2030,28.91625616,0.47
Yemen,28/9/2020,587,2031,28.90201871,0.47
Yemen,29/9/2020,587,2031,28.90201871,0.47
Yemen,30/9/2020,587,2034,28.85939036,0.47
Yemen,1/10/2020,587,2039,28.78862187,0.47
Yemen,2/10/2020,589,2040,28.87254902,0.47
Yemen,3/10/2020,589,2041,28.85840274,0.47
Yemen,4/10/2020,591,2041,28.95639392,0.47
Yemen,5/10/2020,592,2041,29.00538951,0.47
Yemen,6/10/2020,593,2047,28.96922325,0.47
Yemen,7/10/2020,593,2049,28.9409468,0.47
Yemen,8/10/2020,593,2050,28.92682927,0.47
Yemen,9/10/2020,593,2051,28.9127255,0.47
Yemen,10/10/2020,595,2051,29.01023891,0.47
Yemen,11/10/2020,595,2052,28.99610136,0.47
Yemen,12/10/2020,596,2052,29.04483431,0.47
Yemen,13/10/2020,596,2053,29.0306868,0.47
Yemen,14/10/2020,596,2053,29.0306868,0.47
Yemen,15/10/2020,596,2053,29.0306868,0.47
Yemen,16/10/2020,596,2055,29.00243309,0.47
Yemen,17/10/2020,596,2055,29.00243309,0.47
Yemen,18/10/2020,597,2056,29.03696498,0.47
Yemen,19/10/2020,597,2056,29.03696498,0.47
Yemen,20/10/2020,597,2057,29.02284881,0.47
Yemen,21/10/2020,597,2057,29.02284881,0.47
Yemen,22/10/2020,597,2057,29.02284881,0.47
Yemen,23/10/2020,599,2060,29.0776699,0.47
Yemen,24/10/2020,599,2060,29.0776699,0.47
Yemen,25/10/2020,599,2060,29.0776699,0.47
Yemen,26/10/2020,599,2060,29.0776699,0.47
Yemen,27/10/2020,599,2060,29.0776699,0.47
Yemen,28/10/2020,599,2061,29.06356138,0.47
Yemen,29/10/2020,599,2062,29.04946654,0.47
Yemen,30/10/2020,599,2062,29.04946654,0.47
Yemen,31/10/2020,599,2063,29.03538536,0.47
Yemen,1/11/2020,600,2063,29.08385846,0.47
Yemen,2/11/2020,601,2063,29.13233156,0.47
