location,date,new_cases,new_deaths,Fully_Vac_Population,weekly_hosp_admissions,weekly_icu_admissions
United Arab Emirates,5/7/2021,1573,5,63.35598453,,
United Arab Emirates,6/7/2021,1552,4,63.65373003,,
United Arab Emirates,7/7/2021,1513,4,64.04683056,,
United Arab Emirates,8/7/2021,1539,2,64.34454603,,
United Arab Emirates,9/7/2021,1529,4,64.64242165,,
United Arab Emirates,10/7/2021,1520,7,64.93927635,,
United Arab Emirates,11/7/2021,1518,6,65.1356915,,
United Arab Emirates,12/7/2021,1542,4,65.33334775,,
United Arab Emirates,13/7/2021,1522,6,65.6329449,,
United Arab Emirates,14/7/2021,1529,4,66.02637572,,
United Arab Emirates,15/7/2021,1541,5,67.11669796,,
United Arab Emirates,16/7/2021,1530,7,67.31396386,,
United Arab Emirates,18/7/2021,1529,2,67.41177108,,
United Arab Emirates,19/7/2021,1508,2,67.41215142,,
United Arab Emirates,20/7/2021,1541,4,67.71102792,,
United Arab Emirates,26/7/2021,1549,7,68.20682002,,
United Arab Emirates,27/7/2021,1539,2,68.70183142,,
United Arab Emirates,28/7/2021,1527,5,68.99622393,,
United Arab Emirates,29/7/2021,1550,5,69.19383014,,
United Arab Emirates,31/7/2021,1537,6,69.78888074,,
United Arab Emirates,2/8/2021,1537,5,69.98566622,,
United Arab Emirates,3/8/2021,1548,4,70.28252092,,
United Arab Emirates,4/8/2021,1519,5,70.48404062,,
United Arab Emirates,5/8/2021,1508,2,70.77863331,,
United Arab Emirates,6/8/2021,1520,2,70.97919215,,
United Arab Emirates,7/8/2021,1545,2,71.27368474,,
United Arab Emirates,8/8/2021,1410,4,71.37194236,,
United Arab Emirates,9/8/2021,1321,3,71.47102071,,
United Arab Emirates,10/8/2021,1334,4,71.76968703,,
United Arab Emirates,11/8/2021,1287,6,71.86807476,,
United Arab Emirates,12/8/2021,1260,4,71.96696294,,
United Arab Emirates,13/8/2021,1215,2,72.06645165,,
United Arab Emirates,15/8/2021,1189,4,72.16405869,,
United Arab Emirates,16/8/2021,1109,2,72.26541907,,
United Arab Emirates,17/8/2021,1115,3,72.46098346,,
United Arab Emirates,18/8/2021,1089,3,72.65902005,,
United Arab Emirates,19/8/2021,1077,3,72.85860802,,
United Arab Emirates,20/8/2021,1070,2,73.15457193,,
United Arab Emirates,21/8/2021,1066,4,73.35508073,,
United Arab Emirates,24/8/2021,990,2,73.55062509,,
United Arab Emirates,25/8/2021,983,2,74.04535624,,
United Arab Emirates,26/8/2021,991,3,74.24224181,,
United Arab Emirates,1/9/2021,985,2,76.02540185,,
United Arab Emirates,3/9/2021,978,1,76.32489891,,
